,FL,Ins,CgG,HiF,PHG,OL,PL,TL,Amg,BF,GP,Str,Cl,ET,Hy,SbT,DT,VT,MES,CbCx,CbN,Bpons,PTg,MY,WM,SS,,,frontal lobe,FL
ERLEC1,"-0,7748","-1,6556","-0,4425","0,6233","0,4395","1,0673","0,3913","-0,8224","0,2535","0,4916","0,6831","-0,1963","-1,1126","-0,6445","-1,5018","0,5044","-0,2326","1,1505","1,5988","2,4766","-0,3282","-1,5518","-0,6076","0,791","-0,6003",,,,insula,Ins
ERLEC1,"0,1461","-1,2532","0,3226","1,1229","-0,362","2,5741","1,572","0,7111","0,3699","1,2195","-0,1914","-0,1355","-0,3887","-1,7253","-1,3181","-1,0586","-0,6191","-0,0113","0,7215","0,1136","0,6762","-1,5473","-0,8869","-0,2354","0,1833",,,,cingulate gyrus,CgG
ERLEC1,"-0,5535","-0,2955","-0,3959","0,4925","-0,6235","-0,5457","-0,7266","-0,2136","0,3804","0,1172","-0,7894","-0,1201","1,3581","2,2435","-0,0733","1,7393","0,3743","-0,324","0,0286","0,4129","-1,992","1,5499","-1,7366","1,2211","-1,389",,,,hippocampal formation,HiF
ERLEC1,"-0,139","-0,4057","0,3595","-0,1689","-0,3341","1,9084","-0,0074","0,0673","-0,4914","1,7904","0,8299","-1,4717","-0,702","0,9318","-1,3473","0,3198","-1,9634","0,9169","-1,0192","-1,1542","1,5667","0,2632","-0,0114","-1,047","-0,1308","0,0222",,,parahippocampal gyrus,PHG
ERLEC1,"1,2785","0,6073","0,0923","-0,7228","0,1306","-0,3686","1,4099","-0,0876","-0,2871","-0,747","1,4518","-1,4051","2,025","0,9159",,"-0,15","-1,1664","-0,889","-0,501","0,9713","1,5453","-1,8907","0,6771","-1,1832","-0,2812","-0,147",,,occipital lobe,OL
ERLEC1,"0,2276","-0,3536","0,496","0,0601","-0,1714","0,5651","0,6048","0,1811","-0,8803","-0,6584","0,7224","-0,6021","-1,0805","-1,6067","0,4504","-1,3492","-0,7138","-1,0714","0,5843","0,6526","-0,6294","-1,1327","1,5605","0,5602","0,4351","3,1494",,,parietal lobe,PL
,"0,00355","-0,37965","0,20745","0,2763","-0,25275","0,8162","0,49805","-0,01015","-0,0168","0,3044","0,70275","-0,3992","-0,54535","0,1357","-1,3181","0,0849","-0,66645","-0,16765","0,30645","0,53275","0,174","-1,34","-0,3095","0,1624","-0,206","0,0222",,,temporal lobe,TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amygdala,Amg
ACOT12,"-0,362","0,3066","0,3599","0,6786","0,2776","-1,3571","-1,1807","-0,4232","1,688","0,7892","-0,3428","-0,3064","-1,027","1,5678","2,8616","-0,3865","0,629","-0,3428","0,1856","-0,8765","-0,6249","-0,8351","0,6519","-0,4826","-1,4481",,,,basal forebrain,BF
ACOT12,"-0,0058","0,8159","0,3232","0,7624","1,5143","-0,4602","-0,3092","-0,1013","1,6563","1,5041","-0,8246","-0,3214","0,0157","-1,9283","1,9426","-1,0721","-0,4779","-0,6724","0,4132","-0,6376","0,1234","-0,9899","0,8159","-0,1734","-1,9127",,,,globus pallidus,GP
ACOT12,"0,265","1,0532","0,3378","0,1554","0,594","0,2306","0,3942","0,2258","0,0421","1,2782","0,2276","-0,4377","-0,8471","2,7566","1,8163","-0,777","-0,7212","-0,707","0,3561","-0,4407","-1,3329","-0,7123","-0,7494","0,3462","-1,5326",,,,striatum,Str
ACOT12,"-1,8212","0,3861","1,1137","0,4913","1,7476","1,3912","-0,8279","-0,5428","0,4755","0,8625","1,326","-0,8655","-0,3167","-0,236","-1,6144","1,6281","0,8591","-0,2701","-0,4469","0,2134","-1,1489","-0,3476","-0,8572","0,7303","-0,4115","-1,6525",,,claustrum,Cl
ACOT12,"-1,6864","-0,4717","0,465","-0,082","1,3349","0,2183","-0,8657","-0,5533","-0,4379","1,1254","0,7021","-1,0245","-0,1959","0,4805",,"1,6331","-1,1979","-0,3982","-0,8828","0,3626","-0,9711","2,9483","-1,1458","0,346","-0,3825","-1,0067",,,epithalamus,ET
ACOT12,"-0,4379","0,4821","0,2423","1,4625","0,5164","-0,8153","-1,1172","-0,0912","1,1812","1,1","-0,723","0,3389","1,1849","1,1299","1,7641","-1,3166","-0,1405","-0,9086","0,8934","-0,8287","-1,4594","-0,2283","1,073","-0,3555","-1,0918","-1,8547",,,hypothalamus,Hy
