	Astro	Neuron	OPC	NFO	MO	MGL	Endo
ERLEC1	14.7608335	8.8662945	12.21636	9.8397215	5.93485	5.331815	11.4426045
Chac2	4.5634595	6.147242	3.5941895	4.875694	5.0019595	0.274831	3.6240455
Rasgrf2	0.1638955	2.8992055	0.8008665	0.8397575	0.562383	0.4941	0.102226
Trmt2b	3.080489	0.6065395	5.8340245	4.872142	4.0526805	3.5803105	2.9916365
Tmem35	2.567418	25.995779	35.0189845	10.5225055	0.7522135	0.6535725	0.4051245
Cdk19	7.595568	7.068901	7.2341235	21.848943	15.4584075	9.5770435	12.5283795
Itch	13.3595035	5.8298065	15.186856	17.3294175	11.515921	6.5230715	19.88264
Sox21	26.087055	3.1749875	21.7710935	10.9432415	0.817518	0.19206	0.209512
Cenpi	1.8948075	0.387941	2.974059	0.85684	0.1503035	0.183457	1.413268
Zcchc9	9.9001845	4.6696965	7.0064965	4.5578815	1.7189355	3.132486	5.9536635
Gpr75	0.539777	1.8882475	3.5804755	1.2981425	0.399129	0.1	0.1435425
Asb3	4.973672	3.4862105	5.612157	3.7703745	2.8316735	2.767364	4.22421
Psme4	19.237015	8.8902585	8.981504	11.941841	3.372556	3.082279	10.707264
Ahcy	1.4314725	2.043021	3.767967	2.5655345	3.3257565	1.7446785	3.111766
Eif2s2	11.2387605	14.3572375	12.414651	11.9758355	6.105219	6.003664	27.294128
Cntn4	0.1	1.6080935	10.47904	2.2801825	0.226707	0.1	0.1
