Correlation	Trait1: VCUSal_1206_R::1449457_at	Trait2: VCUSal_1206_R::1417125_at	Trait3: VCUSal_1206_R::1417361_at	Trait4: VCUSal_1206_R::1442450_at	Trait5: VCUSal_1206_R::1455031_at	Trait6: VCUSal_1206_R::1419074_at	Trait7: VCUSal_1206_R::1428722_at	Trait8: VCUSal_1206_R::1429804_at	Trait9: VCUSal_1206_R::1460321_at	Trait10: VCUSal_1206_R::1417712_at	Trait11: VCUSal_1206_R::1434536_at	Trait12: VCUSal_1206_R::1415769_at	Trait13: VCUSal_1206_R::1434775_at	Trait14: VCUSal_1206_R::1426823_s_at	Trait15: VCUSal_1206_R::1421621_at	Trait16: VCUSal_1206_R::1451689_a_at	Trait17: VCUSal_1206_R::1437059_at	Trait18: VCUSal_1206_R::1416710_at	Trait19: VCUSal_1206_R::1424557_at	Trait20: BXDPublish::18069	Trait21: BXDPublish::11911	Trait22: BXDPublish::11007	Trait23: BXDPublish::11010	Trait24: BXDPublish::11009	Trait25: BXDPublish::11011	Trait26: BXDPublish::10873	Trait27: BXDPublish::10879	Trait28: BXDPublish::10878	
Trait 1: VCUSal_1206_R::1449457_at: Acot12 on Chr 13 @ 91.782945 Mb : acyl-CoA thioesterase 12 (recessive cataract) : last four exons (one alternative exon excluded)	1.000	0.089	-0.289	0.233	0.087	-0.570	0.362	0.698	-0.063	-0.062	-0.091	0.105	0.029	-0.151	0.102	0.152	0.405	-0.386	-0.355	0.056	-0.152	-0.771	0.371	0.100	-0.714	0.017	0.031	0.213	
Trait 2: VCUSal_1206_R::1417125_at: Ahcy on Chr 2 @ 155.05981 Mb : S-adenosylhomocysteine hydrolase : 	0.063	1.000	-0.288	0.399	-0.030	-0.081	0.239	0.069	-0.262	0.204	-0.243	-0.354	0.053	-0.211	-0.285	0.395	-0.373	0.084	-0.128	-0.337	0.415	0.371	-0.086	-0.214	0.429	0.050	-0.209	-0.037	
Trait 3: VCUSal_1206_R::1417361_at: Asb3 on Chr 11 @ 31.085017 Mb : ankyrin repeat and SOCS box-containing protein 3 : last two exons and proximal 3' UTR	-0.358	-0.159	1.000	-0.305	0.103	0.585	-0.190	-0.397	0.123	0.099	0.517	0.443	0.197	0.719	0.016	-0.412	-0.040	0.466	0.277	0.546	0.219	0.600	0.143	0.129	0.771	-0.467	0.162	0.018	
Trait 4: VCUSal_1206_R::1442450_at: Asip on Chr 2 @ 155.040575 Mb : agouti-signaling protein : antisense in intron 3	0.214	0.406	-0.347	1.000	-0.250	-0.249	0.036	0.329	-0.453	0.025	-0.255	-0.477	-0.181	-0.340	-0.429	0.250	-0.018	-0.203	-0.026	-0.237	-0.010	-0.829	0.314	0.014	-0.771	-0.033	-0.001	-0.067	
Trait 5: VCUSal_1206_R::1455031_at: Cdk19 on Chr 10 @ 40.483495 Mb : cyclin-dependent kinase 19, transcript variant 2 : distal 3'UTR	0.034	-0.102	0.188	-0.310	1.000	-0.097	0.017	-0.162	0.229	-0.282	0.339	0.286	0.201	0.380	0.263	-0.187	0.100	0.116	-0.336	0.182	-0.111	0.600	-0.086	0.157	0.657	-0.050	-0.160	-0.222	
Trait 6: VCUSal_1206_R::1419074_at: Chac2 on Chr 11 @ 30.977051 Mb : ChaC, cation transport regulator homolog 2 : mid and distal 3' UTR	-0.547	0.004	0.524	-0.188	0.056	1.000	-0.198	-0.581	-0.295	0.284	0.122	-0.144	0.133	0.299	-0.161	0.076	-0.013	0.605	0.303	0.108	0.308	0.257	0.029	-0.071	0.314	-0.583	0.009	0.262	
Trait 7: VCUSal_1206_R::1428722_at: Ckmt2 on Chr 13 @ 91.85821 Mb : creatine kinase, mitochondrial 2 : exons 7, 8, and 9 (of 10)	0.486	0.180	-0.167	0.098	0.024	-0.187	1.000	0.455	-0.132	0.001	-0.178	-0.228	0.500	-0.045	-0.178	0.269	-0.090	-0.232	-0.440	-0.240	0.371	-0.143	-0.371	-0.157	-0.086	0.317	-0.214	-0.081	
Trait 8: VCUSal_1206_R::1429804_at: Clc22a16 on Chr 10 @ 40.60365 Mb : solute carrier family 22 (organic cation/carnitine transporter), member 16 : last exon	0.714	0.061	-0.423	0.215	-0.169	-0.580	0.531	1.000	-0.165	-0.107	-0.216	-0.079	0.086	-0.517	-0.244	0.157	0.444	-0.473	-0.155	0.085	-0.187	-0.600	-0.371	-0.214	-0.771	0.100	-0.147	0.181	
Trait 9: VCUSal_1206_R::1460321_at: Cntn4 on Chr 6 @ 106.667426 Mb : contactin 4 : 	-0.012	-0.303	0.139	-0.493	0.261	-0.343	-0.100	-0.074	1.000	-0.086	0.330	0.377	-0.150	0.215	0.569	-0.212	-0.101	-0.024	-0.133	0.422	-0.116	0.543	0.086	0.471	0.314	0.083	0.089	-0.324	
Trait 10: VCUSal_1206_R::1417712_at: Eif2s2 on Chr 2 @ 154.872523 Mb : eukaryotic translation initiation factor 2, subunit 2 (beta) : last exon and proximal 3' UTR	-0.069	0.323	0.134	-0.060	-0.281	0.365	0.027	-0.101	-0.180	1.000	-0.325	-0.105	-0.014	-0.054	-0.147	0.315	-0.050	0.059	0.517	0.133	0.587	0.714	0.029	0.071	0.600	-0.083	0.127	0.111	
