ID,Species,Cross,Database,ProbeSetID / RecordID,Symbol,Description,ProbeTarget,PubMed_ID,Phenotype,Chr,Mb,Alias,Gene_ID,HomoloGene_ID,UniGene_ID,Strand_Probe,Strand_Gene,Probe_set_specificity,Probe_set_BLAT_score,Probe_set_BLAT_Mb_start,Probe_set_BLAT_Mb_end,QTL_Chr,QTL_Mb,Locus_at_Peak,Max_LRS,P_value_of_MAX,Mean_Expression,B6D2F1,D2B6F1,C57BL/6J,DBA/2J,BXD1,BXD2,BXD5,BXD6,BXD8,BXD9,BXD11,BXD12,BXD13,BXD14,BXD15,BXD16,BXD18,BXD19,BXD20,BXD21,BXD22,BXD23,BXD24,BXD24a,BXD25,BXD27,BXD28,BXD29,BXD30,BXD31,BXD32,BXD33,BXD34,BXD35,BXD36,BXD37,BXD38,BXD39,BXD40,BXD41,BXD42,BXD43,BXD44,BXD45,BXD48,BXD48a,BXD49,BXD50,BXD51,BXD52,BXD53,BXD54,BXD55,BXD56,BXD59,BXD60,BXD61,BXD62,BXD63,BXD64,BXD65,BXD65a,BXD65b,BXD66,BXD67,BXD68,BXD69,BXD70,BXD71,BXD72,BXD73,BXD73a,BXD73b,BXD74,BXD75,BXD76,BXD77,BXD78,BXD79,BXD81,BXD83,BXD84,BXD85,BXD86,BXD87,BXD88,BXD89,BXD90,BXD91,BXD93,BXD94,BXD95,BXD98,BXD99,BXD100,BXD101,BXD102,BXD104,BXD105,BXD106,BXD107,BXD108,BXD109,BXD110,BXD111,BXD112,BXD113,BXD114,BXD115,BXD116,BXD117,BXD119,BXD120,BXD121,BXD122,BXD123,BXD124,BXD125,BXD126,BXD127,BXD128,BXD128a,BXD130,BXD131,BXD132,BXD133,BXD134,BXD135,BXD136,BXD137,BXD138,BXD139,BXD141,BXD142,BXD144,BXD145,BXD146,BXD147,BXD148,BXD149,BXD150,BXD151,BXD152,BXD153,BXD154,BXD155,BXD156,BXD157,BXD160,BXD161,BXD162,BXD165,BXD168,BXD169,BXD170,BXD171,BXD172,BXD173,BXD174,BXD175,BXD176,BXD177,BXD178,BXD180,BXD181,BXD183,BXD184,BXD186,BXD187,BXD188,BXD189,BXD190,BXD191,BXD192,BXD193,BXD194,BXD195,BXD196,BXD197,BXD198,BXD199,BXD200,BXD201,BXD202,BXD203,BXD204,BXD205,BXD206,BXD207,BXD208,BXD209,BXD210,BXD211,BXD212,BXD213,BXD214,BXD215,BXD216,BXD217,BXD218,BXD219,BXD220
1,mouse,BXD,INIA Hypothalamus Affy MoGene 1.0 ST (Nov10),10406564,Acot12,acyl-CoA thioesterase 12,,,,13,91.741518,Acot12; 1300004O04Rik; 4930449F15Rik; AV027244; Cach; mCACH-1,74156,12540,,+,+,0,0,91.741518,91.78615,10,28.250367,rs49817746,10.9709793566443,0,7.48646,7.445,7.37,7.483,7.506,7.564,,,,,,7.56,7.594,,7.461,,,,,,,,,7.537,,,7.623,,7.411,,7.668,7.524,,7.319,,,,,7.531,7.566,,7.449,7.238,7.468,7.536,7.256,,7.652,7.577,,,,,,7.331,,7.519,,7.409,7.418,,7.47,7.554,7.416,,,7.538,7.558,7.468,7.498,,7.53,7.448,7.496,,7.534,,,,7.331,,7.436,7.444,7.44,,7.53,,7.474,7.463,,,,7.438,,7.449,7.56,7.48,7.753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,mouse,BXD,INIA Hypothalamus Affy MoGene 1.0 ST (Nov10),10488816,Ahcy,S-adenosylhomocysteine hydrolase,,,,2,155.05931,Ahcy; RP23-192A6.3; AA987153; AL024110; CuBP; MGC102079; MGC118063; MGC19228; SAHH,269378,554,,-,-,0,0,155.05931,155.074433,11,101.25088,rs29422564,15.0658249651049,0,9.70122,9.748,9.644,9.602,9.661,9.574,,,,,,9.638,9.71,,9.652,,,,,,,,,9.889,,,9.802,,9.572,,9.65,9.824,,9.642,,,,,9.536,9.736,,9.835,9.781,9.715,9.66,9.676,,9.725,9.632,,,,,,9.724,,9.813,,9.894,9.747,,9.67,9.69,9.735,,,9.732,9.812,9.642,9.586,,9.726,9.886,9.738,,9.698,,,,9.656,,9.572,9.827,9.629,,9.738,,9.699,9.651,,,,9.691,,9.595,9.556,9.718,9.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,mouse,BXD,INIA Hypothalamus Affy MoGene 1.0 ST (Nov10),10374983,Asb3,ankyrin repeat and SOCS box-containing 3,,,,11,30.885462,Asb3; RP23-17P18.1; 2400011J03Rik; Asb-3,65257,9391,,+,+,0,0,30.885462,31.102704,11,33.49035,rs13480950,26.1554881327634,0,9.12376,9.08,9.035,9.353,8.87,8.981,,,,,,9.176,9.306,,8.945,,,,,,,,,8.906,,,9.132,,9.109,,8.882,8.845,,9.108,,,,,8.972,9.083,,9.088,9.43,9.394,9.144,9.345,,9.054,9.091,,,,,,8.99,,9.041,,9.316,9.238,,9.354,9.138,9.406,,,9.018,9.417,9.337,8.924,,8.97,9.048,9.104,,9.142,,,,9.408,,9.025,8.911,8.964,,9.292,,9.114,8.804,,,,9.32,,9.189,9.106,8.926,9.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,mouse,BXD,INIA Hypothalamus Affy MoGene 1.0 ST (Nov10),10477595,Asip,agouti-signaling protein,,,,2,155.013531,As; ASP; A<y>; ASIP; a; ASP; AGSW; AGTI; AGTIL; SHEP9,50518,1264,,+,+,0,0,155.013531,155.051011,5,4.4682,rs3664617,10.8752340946937,0,7.45712,7.326,7.316,7.3,7.478,7.534,,,,,,7.362,7.404,,7.635,,,,,,,,,7.538,,,7.266,,7.32,,7.414,7.366,,7.362,,,,,7.506,7.508,,7.411,7.607,7.516,7.492,7.406,,7.637,7.559,,,,,,7.494,,7.463,,7.421,7.237,,7.386,7.486,7.482,,,7.406,7.526,7.36,7.546,,7.602,7.591,7.518,,7.632,,,,7.623,,7.489,7.644,7.399,,7.548,,7.296,7.427,,,,7.217,,7.364,7.472,7.392,7.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,mouse,BXD,INIA Hypothalamus Affy MoGene 1.0 ST (Nov10),10362676,Cdk19,"cyclin-dependent kinase 19, transcript variant 2",,,,10,40.349308,CDK11; Cdc2l6; AI845279; AW228747; mKIAA1028; 2700084L06Rik2700084L06Rik; CDK11; mKIAA1028,78334,22862,,+,+,0,0,40.349308,40.483818,3,3.07424,rs29619692,11.0982661449469,0,9.57466,9.548,9.648,9.698,9.694,9.431,,,,,,9.591,9.654,,9.349,,,,,,,,,9.513,,,9.535,,9.473,,9.588,9.689,,9.652,,,,,9.702,9.609,,9.651,9.831,9.621,9.578,9.445,,9.599,9.512,,,,,,9.509,,9.628,,9.738,9.54,,9.663,9.504,9.554,,,9.418,9.815,9.396,9.563,,9.646,9.548,9.728,,9.484,,,,9.583,,9.408,9.329,9.736,,9.544,,9.528,9.453,,,,9.535,,9.597,9.542,9.516,9.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,mouse,BXD,INIA Hypothalamus Affy MoGene 1.0 ST (Nov10),10601705,Cenpi,centromere protein I,,,,X,134.308155,Cenpi; RP23-162B19.4; AI504163; Fshprh1; MGC40943,102920,4899,,+,+,0,0,134.308155,134.362639,11,75.56386,rs26917467,9.34688651383347,0,5.7484,5.716,5.627,5.845,5.832,5.764,,,,,,5.703,5.71,,5.944,,,,,,,,,5.58,,,5.893,,5.648,,5.643,5.877,,5.829,,,,,5.642,5.817,,5.611,5.791,5.838,5.677,5.813,,5.849,5.778,,,,,,5.77,,5.845,,5.832,5.707,,5.842,5.726,5.732,,,5.666,5.704,5.662,5.671,,5.792,5.726,5.788,,5.631,,,,5.807,,5.55,5.772,5.848,,5.687,,5.9,5.644,,,,5.688,,5.719,5.683,5.722,5.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,mouse,BXD,INIA Hypothalamus Affy MoGene 1.0 ST (Nov10),10384956,Chac2,"ChaC, cation transport regulator homolog 2 (E. coli)",,,,11,30.976707,Chac2; RP23-20N14.6; 2510006C20Rik,68044,48696,,-,-,0,0,30.976707,30.986365,11,29.493209,rs29409347,13.0825534597353,0,8.91794,8.942,8.995,8.91,8.952,8.586,,,,,,8.861,8.89,,8.627,,,,,,,,,8.99,,,9.064,,9.068,,9.001,9.009,,8.948,,,,,8.752,8.788,,9.085,9.1,8.81,9.006,8.884,,9.031,8.812,,,,,,9.001,,9.075,,9.06,8.874,,9.029,8.84,9.075,,,8.986,9.014,8.828,8.877,,8.818,8.992,9.109,,8.72,,,,8.947,,8.65,9.04,9.172,,8.902,,8.95,8.834,,,,8.792,,8.762,8.762,8.879,8.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,mouse,BXD,INIA Hypothalamus Affy MoGene 1.0 ST (Nov10),10410984,Ckmt2,"creatine kinase, mitochondrial 2",,,,13,91.853387,Ckmt2; 2300008A19Rik; ScCKmit,76722,68206,,-,-,0,0,91.853387,91.876885,8,24.382366,rs32671831,11.3186439486881,0,6.32598,6.159,6.286,6.437,6.239,6.409,,,,,,6.156,6.231,,6.614,,,,,,,,,6.475,,,5.969,,6.22,,6.427,6.318,,6.265,,,,,6.297,6.354,,5.861,6.278,6.352,6.406,6.21,,6.187,6.238,,,,,,6.406,,6.538,,6.312,6.421,,6.389,6.273,6.332,,,6.328,6.662,6.39,6.434,,6.366,6.466,6.352,,6.217,,,,6.502,,6.313,6.573,6.354,,6.364,,6.37,6.14,,,,6.178,,6.347,6.238,6.134,6.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,mouse,BXD,INIA Hypothalamus Affy MoGene 1.0 ST (Nov10),10540359,Cntn4,contactin 4,,,,6,105.677776,Cntn4; 9630050B05; Axcam; BIG-2,269784,,,+,+,0,0,105.677776,106.699305,9,87.634869,rs33093055,14.1463127850243,0,9.3193,9.332,9.317,9.412,9.358,9.174,,,,,,9.366,9.438,,9.3,,,,,,,,,9.215,,,9.312,,9.498,,9.319,9.411,,9.506,,,,,9.365,9.262,,9.585,9.514,9.17,9.317,9.364,,9.226,9.204,,,,,,9.334,,9.43,,9.416,9.315,,9.556,9.198,9.407,,,9.306,9.26,9.236,9.484,,9.202,9.19,9.232,,9.206,,,,9.531,,9.204,8.921,9.244,,9.192,,9.26,9.247,,,,9.382,,9.253,9.327,9.252,9.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,mouse,BXD,INIA Hypothalamus Affy MoGene 1.0 ST (Nov10),10578683,Eif2s2,"eukaryotic translation initiation factor 2, subunit 2 (beta)",,,,8,52.196061,Eif2s2; RP23-480H10.3; 2810026E11Rik; 38kDa; AA408636; AA571381; AA986487; AW822225; D2Ertd303e; EIF2; EIF2B; MGC130606,67204,2904,,-,-,0,0,52.196061,52.197056,18,76.826489,D18Mit80,15.2641179917484,0,9.90312,9.813,10.1,9.904,10.017,9.668,,,,,,9.672,9.796,,9.425,,,,,,,,,10.141,,,9.874,,9.758,,9.828,10.248,,10.1,,,,,9.623,9.817,,9.815,10.354,9.96,9.746,9.805,,9.913,9.816,,,,,,9.927,,10.145,,10.183,9.793,,9.94,9.688,9.962,,,9.794,10.047,9.654,9.794,,9.995,10.194,10.088,,9.88,,,,9.914,,9.824,10.213,9.817,,9.848,,9.913,9.902,,,,9.831,,9.778,10.004,9.84,9.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
